Condition	Molecule	Salt	Root_length
A_cntrl	A	cntrl	39.86
A_cntrl	A	cntrl	24.859
A_cntrl	A	cntrl	43.562
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	
A_cntrl	A	cntrl	
A_100	A	100	28.685
A_100	A	100	22.209
A_100	A	100	27.797
A_100	A	100	24.243
A_100	A	100	21.23
A_100	A	100	30.369
A_100	A	100	31.994
A_100	A	100	25.937
A_100	A	100	22.822
A_100	A	100	16.902
A_100	A	100	28.676
A_100	A	100	28.652
A_100	A	100	
A_100	A	100	
A_100	A	100	
A_100	A	100	
A_100	A	100	
A_100	A	100	
A_100	A	100	19.334
A_100	A	100	25.131
A_100	A	100	30.066
A_100	A	100	28.685
A_100	A	100	20.747
A_100	A	100	17.055
A_100	A	100	25.094
A_100	A	100	27.5
A_100	A	100	24.083
A_100	A	100	26.209
A_100	A	100	26.441
A_100	A	100	25.012
A_100	A	100	
A_100	A	100	
A_100	A	100	
A_100	A	100	
A_100	A	100	
A_100	A	100	
A_100	A	100	28.391
A_100	A	100	24.954
A_100	A	100	30.386
A_100	A	100	22.818
A_100	A	100	28.475
A_100	A	100	24.073
A_100	A	100	16.116
A_100	A	100	22.989
A_100	A	100	23.971
A_100	A	100	35.457
A_100	A	100	21.695
A_100	A	100	30.002
A_100	A	100	
A_100	A	100	
A_100	A	100	
A_100	A	100	
A_100	A	100	
A_100	A	100	
A_100	A	100	25.768
A_100	A	100	22.053
A_100	A	100	29.587
A_100	A	100	24.641
A_100	A	100	27.777
A_100	A	100	16.947
A_100	A	100	20.814
A_100	A	100	25.087
A_100	A	100	24.618
A_100	A	100	29.531
A_100	A	100	18.558
A_100	A	100	20.982
A_100	A	100	
A_100	A	100	
A_100	A	100	
A_100	A	100	
A_100	A	100	
A_100	A	100	
A_100	A	100	21.698
A_100	A	100	26.441
A_100	A	100	20.684
A_100	A	100	23.302
A_100	A	100	28.669
A_100	A	100	30.023
A_100	A	100	29.023
A_100	A	100	18.269
A_100	A	100	30.701
A_100	A	100	26.688
A_100	A	100	30.926
A_100	A	100	31.886
A_100	A	100	
A_100	A	100	
A_100	A	100	
A_100	A	100	
A_100	A	100	
A_100	A	100	
A_100	A	100	21.22
A_100	A	100	26.271
A_100	A	100	22.912
A_100	A	100	25.777
A_100	A	100	23.768
A_100	A	100	26.137
A_100	A	100	29.498
A_100	A	100	21.38
A_100	A	100	29.843
A_100	A	100	25.504
A_100	A	100	18.851
A_100	A	100	23.92
A_100	A	100	
A_100	A	100	
A_100	A	100	
A_100	A	100	
B_cntrl	B	cntrl	71.211
B_cntrl	B	cntrl	62.961
B_cntrl	B	cntrl	32.909
B_cntrl	B	cntrl	52.306
B_cntrl	B	cntrl	56.888
B_cntrl	B	cntrl	65.339
B_cntrl	B	cntrl	32.543
B_cntrl	B	cntrl	30.347
B_cntrl	B	cntrl	64.033
B_cntrl	B	cntrl	75.243
B_cntrl	B	cntrl	34.422
B_cntrl	B	cntrl	62.489
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	27.002
B_cntrl	B	cntrl	52.081
B_cntrl	B	cntrl	52.687
B_cntrl	B	cntrl	42.733
B_cntrl	B	cntrl	51.802
B_cntrl	B	cntrl	50.029
B_cntrl	B	cntrl	27.32
B_cntrl	B	cntrl	53.251
B_cntrl	B	cntrl	52.183
B_cntrl	B	cntrl	52.39
B_cntrl	B	cntrl	44.611
B_cntrl	B	cntrl	47.412
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	79.756
B_cntrl	B	cntrl	70.041
B_cntrl	B	cntrl	30.193
B_cntrl	B	cntrl	40.375
B_cntrl	B	cntrl	24.26
B_cntrl	B	cntrl	71.785
B_cntrl	B	cntrl	32.148
B_cntrl	B	cntrl	26.012
B_cntrl	B	cntrl	48.659
B_cntrl	B	cntrl	48.55
B_cntrl	B	cntrl	78.15
B_cntrl	B	cntrl	51.527
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	52.957
B_cntrl	B	cntrl	30.276
B_cntrl	B	cntrl	56.289
B_cntrl	B	cntrl	32.375
B_cntrl	B	cntrl	32.232
B_cntrl	B	cntrl	52.666
B_cntrl	B	cntrl	21.262
B_cntrl	B	cntrl	51.606
B_cntrl	B	cntrl	23.395
B_cntrl	B	cntrl	29.353
B_cntrl	B	cntrl	25.674
B_cntrl	B	cntrl	48.651
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	59.369
B_cntrl	B	cntrl	74.738
B_cntrl	B	cntrl	64.118
B_cntrl	B	cntrl	26.115
B_cntrl	B	cntrl	68.315
B_cntrl	B	cntrl	47.695
B_cntrl	B	cntrl	82.225
B_cntrl	B	cntrl	62.623
B_cntrl	B	cntrl	46.78
B_cntrl	B	cntrl	70.108
B_cntrl	B	cntrl	30.031
B_cntrl	B	cntrl	44.978
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	47.366
B_cntrl	B	cntrl	30.351
B_cntrl	B	cntrl	25.736
B_cntrl	B	cntrl	49.238
B_cntrl	B	cntrl	46.621
B_cntrl	B	cntrl	31.615
B_cntrl	B	cntrl	32.207
B_cntrl	B	cntrl	40
B_cntrl	B	cntrl	47.296
B_cntrl	B	cntrl	28.499
B_cntrl	B	cntrl	45.596
B_cntrl	B	cntrl	54.897
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	
B_cntrl	B	cntrl	
B_100	B	100	25.085
B_100	B	100	18.833
B_100	B	100	30.004
B_100	B	100	62.712
B_100	B	100	53.207
B_100	B	100	57.539
B_100	B	100	40.342
B_100	B	100	44.409
B_100	B	100	64.586
B_100	B	100	24.586
B_100	B	100	51.187
B_100	B	100	55.254
B_100	B	100	
B_100	B	100	
B_100	B	100	
B_100	B	100	
B_100	B	100	
B_100	B	100	
B_100	B	100	49.638
B_100	B	100	33.872
B_100	B	100	41.996
B_100	B	100	31.191
B_100	B	100	27.64
B_100	B	100	49.068
B_100	B	100	23.947
B_100	B	100	49.246
B_100	B	100	26.78
B_100	B	100	47.148
B_100	B	100	22.712
B_100	B	100	20.565
B_100	B	100	
B_100	B	100	
B_100	B	100	
B_100	B	100	
B_100	B	100	
B_100	B	100	
B_100	B	100	38.674
B_100	B	100	35.26
B_100	B	100	26.454
B_100	B	100	35.248
B_100	B	100	59.342
B_100	B	100	31.581
B_100	B	100	60.851
B_100	B	100	28.729
B_100	B	100	22.565
B_100	B	100	65.255
B_100	B	100	55.143
B_100	B	100	50.85
B_100	B	100	
B_100	B	100	
B_100	B	100	
B_100	B	100	
B_100	B	100	
B_100	B	100	
B_100	B	100	36.46
B_100	B	100	19.059
B_100	B	100	32.204
B_100	B	100	27.757
B_100	B	100	40.907
B_100	B	100	46.207
B_100	B	100	42.677
B_100	B	100	37.797
B_100	B	100	40.961
B_100	B	100	36.836
B_100	B	100	40.523
B_100	B	100	36.36
B_100	B	100	
B_100	B	100	
B_100	B	100	
B_100	B	100	
B_100	B	100	
B_100	B	100	
B_100	B	100	50.093
B_100	B	100	25.113
B_100	B	100	31.29
B_100	B	100	20.289
B_100	B	100	29.054
B_100	B	100	26.934
B_100	B	100	63.954
B_100	B	100	33.153
B_100	B	100	27.132
B_100	B	100	61.811
B_100	B	100	35.492
B_100	B	100	31.473
B_100	B	100	
B_100	B	100	
B_100	B	100	
B_100	B	100	
B_100	B	100	
B_100	B	100	
B_100	B	100	38.84
B_100	B	100	27.474
B_100	B	100	22.972
B_100	B	100	33.255
B_100	B	100	31.047
B_100	B	100	46.964
B_100	B	100	36.294
B_100	B	100	34.851
B_100	B	100	47.198
B_100	B	100	45.28
B_100	B	100	36.624
B_100	B	100	30.193
B_100	B	100	
B_100	B	100	
B_100	B	100	
B_100	B	100	
